id;first_name;last_name;email;phone_number;hire_date;salary;commission_pct
1;Lola;Rodriguez;Lily.Kihn75@yahoo.com;repurpose modular;2019-12-24T18:29:25;12617;25834
2;Miguel;Kling;Lynn.Buckridge@gmail.com;Wooden withdrawal;2019-12-24T13:29:45;9385;75289
3;Corrine;Wuckert;Arlo58@hotmail.com;Wooden;2019-12-24T15:38:47;90233;71649
4;Meredith;O'Hara;Deonte34@yahoo.com;Berkshire reinvent;2019-12-24T08:23:12;37356;15436
5;Antonina;Turner;Reuben92@yahoo.com;Albania;2019-12-24T23:46:18;54263;80529
6;Unique;MacGyver;Jensen13@gmail.com;Music pink;2019-12-24T11:08:24;95916;18581
7;Myrtice;O'Hara;Imogene95@yahoo.com;calculate Concrete Soap;2019-12-24T14:04:56;95498;15970
8;Monty;Jerde;Chandler_Wehner@gmail.com;payment Expressway;2019-12-24T04:07:35;43151;12407
9;Edwin;Abshire;June_Nicolas@gmail.com;Automated Small Concrete Chicken;2019-12-24T06:57:11;69929;43322
10;Casey;Schinner;Yasmine24@yahoo.com;e-business;2019-12-24T07:39:36;601;74069
